Mathematics,Kiswahili,English,Arabic,German,French,Chemistry,Physics,Biology,Home Science,Agriculture,Computer Studies,History,Geography,Religious Education,Life Skills,Business Studies,Music,Art and Design,Drawing and Design,Building Construction,Power and Mechanics,Metalwork,Aviation,Woodwork,Electronics,interests,skills,target_course_id
A-,E,B+,D+,C+,D,D,A,B-,A-,C,D-,C,A,B+,D,D+,C,A-,E,C+,C+,B-,D-,C-,A,"Attention to Detail, Management, Music, Building things","Communication, Attention to Detail, Empathy",2
A-,C-,B,D+,E,C,B+,E,B+,C-,C-,B+,A-,E,D-,A,A,A-,A-,C-,A,B,B,D,C-,A-,"Art, Communication, Music, Technology","Teamwork, Attention to Detail, Problem Solving, Manual Dexterity, Communication",2
E,C,D-,B,B+,E,A-,D,C-,D+,A-,B,B-,A,D,A-,D-,B+,E,B,B,D+,B-,B+,D,C+,"Art, Empathy, Music","Teamwork, Research, Manual Dexterity, Communication, Empathy",2
C+,C+,C-,B+,B-,D,A-,D-,D+,C+,D,C+,A-,D,D,D-,E,B,B+,B,B,E,D-,C-,C+,B+,"Empathy, Programming, Building things","Communication, Attention to Detail, Teamwork",2
D+,D-,A-,A-,A,D-,A-,E,B-,A,D+,D+,A,D-,B,A,B,D-,D,D-,A,A,B+,D-,C-,D-,"Communication, Music, Building things","Research, Attention to Detail, Problem Solving, Communication, Empathy",2
D-,A-,A,C-,D+,A,A-,A,A,C-,D,C+,C,A,D,B,D,D-,C,E,C-,A,C,C,D-,B-,"Attention to Detail, Science","Logical Thinking, Teamwork, Attention to Detail, Leadership, Empathy",2
C+,A-,C,C-,C+,C,D+,D-,A,B,C-,B,C+,D+,B+,D,B,C,B-,B+,B+,E,A,D+,D,D,"Healthcare, Attention to Detail, Technology","Attention to Detail, Manual Dexterity, Empathy, Analytical Skills",2
C-,C+,D,D+,A-,E,A-,B-,A,B+,D-,D+,B,D-,C+,A,C-,B+,D-,B,C-,B+,C-,E,B+,C-,"Communication, Programming, Technology","Research, Leadership, Analytical Skills, Communication, Empathy",2
C,C-,B,D+,D+,A,A,B,A-,A,D+,B-,D+,B,A,A,C,D-,B-,D+,D,D-,D+,B-,C-,D-,"Art, Empathy","Logical Thinking, Problem Solving, Analytical Skills, Communication, Empathy",2
C+,B+,C,E,D,D,A-,A,A-,B-,B,B+,A,C,C+,B,D-,C+,C+,B,B+,B,C+,A,A,C,"Empathy, Building things, Sports, Management","Communication, Attention to Detail, Research, Manual Dexterity",2
A,D-,C+,A,E,C-,A,B-,A,E,B,E,D-,A-,A-,D-,E,D+,C-,A-,A,B+,B,C+,D-,D-,"Communication, Programming, Debating, Management","Attention to Detail, Empathy, Problem Solving",2
C+,C,C+,B,D-,B+,B+,A,B+,D-,B+,B,B-,D-,A,B,A-,B,C,D-,E,E,B+,E,D-,A-,"Communication, Technology, Building things","Attention to Detail, Empathy",2
B,B,B-,B,C-,E,A,B,C,B-,C-,D+,D-,D,B,E,D-,D-,E,A,D,E,B,A,C-,A-,"Attention to Detail, Healthcare, Management","Attention to Detail, Logical Thinking, Empathy, Problem Solving",2
D-,D+,C+,C+,B-,B-,B+,D-,A,D-,A,C-,B+,A-,D,D-,D+,A,D-,B+,A,B,B+,D,B+,E,"Communication, Programming, Science, Debating","Logical Thinking, Teamwork, Attention to Detail, Creativity, Communication",2
C,C+,E,B,A,B-,B-,B+,D+,C,D-,C-,D,B-,C-,E,A,D-,B-,C-,D,C+,C-,C-,D-,B+,"Communication, Healthcare, Sports","Attention to Detail, Empathy, Leadership",2
A,B-,D-,B+,D,E,B-,B,D,C-,B,B,B-,D,C+,D,C,B-,E,C,D+,C,B+,E,B,C-,"Attention to Detail, Science, Building things","Attention to Detail, Empathy, Analytical Skills",2
A,B+,D-,A-,B+,C-,B,B,B-,E,C,C+,C+,D,C-,E,D+,B,C,C,A,E,D-,E,D+,D+,"Communication, Management","Communication, Empathy, Leadership",2
C-,A,B,B+,B,B+,C-,D,B+,A,C+,C,D,A,E,A-,D,C,C+,D,A,C+,C,B-,C,A-,"Empathy, Programming, Building things","Attention to Detail, Creativity, Leadership, Analytical Skills, Empathy",2
A-,D,D+,D+,B+,B-,B+,A-,D,B-,C,E,C,C,D-,D+,B+,C,C+,B+,C-,B+,B-,D+,D-,A-,"Empathy, Sports","Research, Attention to Detail, Logical Thinking, Empathy",2
A,C,C-,B-,B-,D-,A-,A-,B-,C,C-,A,A-,A-,D+,B+,E,D,D-,C,E,B,D-,B+,A,C,"Attention to Detail, Science, Sports","Communication, Empathy, Teamwork, Analytical Skills",2
D,B-,A-,C,D-,E,A-,D+,B+,A-,B,A-,B,C-,C+,B+,B-,B-,C-,C,D,D-,D+,D+,C,C,"Communication, Technology, Sports","Logical Thinking, Attention to Detail, Problem Solving, Manual Dexterity, Communication, Empathy",2
B+,A-,E,A,D,D-,C,A-,A-,D,A-,D,C-,B,C-,D+,D,C,D-,A-,C+,B,C+,D,A,D-,"Communication, Management","Research, Attention to Detail, Creativity, Analytical Skills, Communication, Empathy",2
D+,A-,D+,D,B+,C,A,B+,B,D+,D-,D-,C+,D,E,D+,D-,D,D-,A-,A-,E,A-,D,B-,B+,"Empathy, Building things","Communication, Research, Empathy, Analytical Skills",2
D,B-,A,C-,D-,B,C+,A,B+,D+,E,C,B,A,B,A-,E,A,B+,A-,D-,B-,B+,B+,A-,D+,"Attention to Detail, Management, Science, Building things","Logical Thinking, Attention to Detail, Manual Dexterity, Leadership, Empathy",2
D+,D-,B,D,B,D,A-,C,C+,C-,C-,D+,D-,B-,C,A,D-,B-,B+,D-,D-,D-,A,D+,A-,D,"Empathy, Management","Attention to Detail, Creativity, Problem Solving, Leadership, Communication, Empathy",2
C+,E,B-,D+,D,D,A-,A-,B+,B+,B+,A-,B+,C,B,D+,B-,E,B,D,D-,D+,E,D-,A-,C,"Art, Empathy, Programming","Communication, Attention to Detail, Creativity",2
A-,B+,D,C,D-,B+,B-,A,B+,B+,C+,E,B,D,D,C,C-,C,B+,D+,A,B-,A,B-,A,E,"Communication, Sports, Building things","Research, Attention to Detail, Creativity, Leadership, Analytical Skills, Empathy",2
D+,A,A-,A-,D,C-,C,D,D+,B-,B,B,E,D+,D-,B-,C+,D+,B+,D,E,B+,A-,D-,C+,E,"Communication, Sports, Management","Communication, Attention to Detail, Creativity, Empathy",2
C,D,D,D+,C-,D+,B-,E,B+,D,D-,A-,A-,C,C,B+,D-,D+,E,B,C+,D-,E,B,C,B,"Communication, Music, Debating","Attention to Detail, Creativity, Empathy, Teamwork",2
E,E,A-,D+,D,D+,B,B-,B,C,D,A,D+,E,D,B,B-,C-,A-,B-,A,D+,C-,D-,D-,B-,"Attention to Detail, Management","Communication, Attention to Detail, Problem Solving, Teamwork",2
A-,B-,C-,C,A-,B-,A-,B,D+,D+,D,E,D-,C-,C+,B,C-,D-,C,C,D,C-,A-,D+,C+,C,"Empathy, Programming, Building things","Logical Thinking, Attention to Detail, Problem Solving, Manual Dexterity, Analytical Skills, Communication",2
A,E,B+,D+,B+,B+,A,D,C-,B-,A,E,B-,C-,D,A,D+,C+,B+,A,D+,B-,E,A,D-,D-,"Empathy, Music, Science, Technology","Communication, Logical Thinking, Empathy, Leadership",2
B+,B+,D-,B+,D-,C+,B-,C+,D,B-,C,A,E,D,B,A,A,B,B+,A,D-,B+,D,D-,D+,B-,"Empathy, Healthcare","Attention to Detail, Manual Dexterity, Creativity, Empathy",2
D,D-,B-,C-,B+,D,B,C,A,B-,C,B+,C,C+,C+,C,B-,A,D-,A-,D,D,D-,D+,D-,A,"Music, Empathy, Healthcare","Communication, Empathy, Teamwork",2
B,A,A,A,E,E,B-,B,A-,B+,A,B,B+,C,D-,C-,B-,D+,C-,B+,B,B,E,B,D+,D+,"Communication, Music, Debating, Sports","Research, Attention to Detail, Communication, Logical Thinking",2
A,E,B+,B,A,C+,B+,B-,A-,C,B,A,A,B+,A,C-,B-,D-,B-,D,D-,C,D,C+,A,B,"Communication, Music, Building things","Communication, Attention to Detail, Empathy",2
A,C-,D,D,D-,D,C+,B+,A,B-,B,B,B+,E,A-,E,D,B+,C,C,B-,B-,C,A,A,C+,"Communication, Healthcare, Technology, Management","Attention to Detail, Leadership, Communication, Teamwork",2
B+,D-,A-,B,C-,A,A,D+,B+,C-,D,B-,B,B+,C-,C-,D,C-,D-,A,A,A-,B+,B,C-,B+,"Music, Empathy, Programming, Technology","Communication, Attention to Detail, Creativity, Problem Solving",2
C,E,D+,A,E,C+,B,B-,A-,D-,D,A-,B+,D+,A,E,E,C+,A-,A-,D,D-,C-,B+,A,D+,"Empathy, Debating","Research, Communication, Creativity, Empathy",2
A,E,B+,E,B,B-,C-,A-,A,C-,C-,B+,B,C+,C+,C+,A,A-,C-,D,A-,C,E,D+,D+,A-,"Attention to Detail, Science, Debating, Building things","Communication, Leadership, Empathy, Teamwork",2
B+,E,E,D-,B+,D,B-,A-,A,B-,C,C+,A-,B,C,C,D,C,B-,D,C+,D+,B+,D-,C+,B,"Communication, Sports, Building things","Communication, Creativity, Empathy, Leadership",2
C-,D,B-,A,B,A,D,B+,A-,C,D+,C,C,C-,B,C+,C-,A,C,A-,D,A-,A,C,B+,D,"Communication, Science, Programming, Technology","Communication, Creativity, Empathy, Leadership",2
B,D,D+,C-,D,E,A-,D-,A,D-,E,C,B,A,B+,B+,B,D,C-,E,D+,A,D,D-,C+,B+,"Empathy, Debating, Management","Communication, Attention to Detail",2
A,D+,B-,D-,D+,D-,C-,C-,C+,C+,A-,B-,D,C-,A-,A,A,C+,A,B-,C-,A-,C,D+,D-,A,"Art, Communication, Building things","Teamwork, Attention to Detail, Problem Solving, Manual Dexterity, Analytical Skills, Communication",2
A-,C,D-,D,A,D-,A,D,B-,B-,C,A,D+,B+,A,D+,C+,D-,A,B-,A,C+,B,E,C-,B-,"Communication, Music, Technology","Teamwork, Research, Attention to Detail, Creativity, Manual Dexterity, Empathy",2
B,B-,D,E,A,B+,B-,D+,A,D,B-,A-,D,E,B-,D,B+,B,E,D-,B-,D-,B,A,C+,D,"Attention to Detail, Technology, Building things","Communication, Creativity, Empathy",2
C-,E,E,A-,D,E,B,A,B+,C,E,B+,A-,D+,D-,D+,C-,C,A-,C+,D+,A-,C,C+,E,C+,"Empathy, Music, Management","Attention to Detail, Creativity, Problem Solving, Analytical Skills, Communication",2
C+,D+,B+,B,B-,C-,D+,C-,A-,C+,C+,D-,D+,D-,B-,C+,B-,C,C+,A-,A-,E,B,B-,B-,C,"Empathy, Music, Building things","Communication, Attention to Detail, Empathy, Problem Solving",2
A-,D+,A,E,E,C,A,A,D+,A,C-,B-,D-,B+,D+,C,C,E,E,C,D-,B,D+,C+,A-,D,"Art, Communication, Sports, Management","Research, Communication, Empathy",2
A,B,B,D-,E,C,C+,A,B+,C-,B,E,B-,B+,B-,A,C+,A,D-,A,C-,D+,A,D-,C-,B+,"Attention to Detail, Management","Communication, Empathy, Problem Solving, Teamwork",2
E,D-,A-,A-,D-,A,A,A,A-,D,C,B,B-,A-,E,D,C-,C,E,A-,B,D-,C-,C-,B+,B-,"Art, Attention to Detail, Science, Management","Attention to Detail, Empathy, Leadership",2
E,B-,B,D+,C+,D,A,D+,C,D+,C,A,D-,C,E,D,E,B,C,D+,A-,D,B-,D,A-,A,"Attention to Detail, Music, Debating, Technology","Teamwork, Leadership, Analytical Skills, Communication, Empathy",2
C,B-,B,A-,A,D+,B+,C,A,D-,D-,D-,E,B+,E,C+,E,A-,B+,D,D,C-,E,B+,D+,B+,"Empathy, Science, Building things","Research, Communication, Empathy, Problem Solving",2
B+,A-,D+,C-,C,A,A-,A,A-,C+,C-,B,A,D,B-,C-,B,A-,A-,B-,C-,C-,D+,D,C+,A,"Science, Empathy, Healthcare","Teamwork, Attention to Detail, Leadership, Communication, Empathy",2
A,C+,E,B+,D,D-,A,A,A-,A-,C-,D,C+,D-,D-,A-,C,D,C,E,C,C,E,E,C,B,"Attention to Detail, Management, Programming, Building things","Communication, Empathy, Leadership, Analytical Skills",2
D,A-,D+,E,B-,C+,A,E,C+,B-,A-,D-,E,C+,C-,B-,A-,D-,C,B,C-,D,D,A-,D,A-,"Art, Communication, Science, Technology","Logical Thinking, Teamwork, Attention to Detail, Analytical Skills, Communication",2
D+,B+,A-,D-,B+,C-,B+,D-,A-,D,B+,B,E,B-,D-,D+,C-,B,B-,E,B-,B,D-,B-,B+,C+,"Music, Empathy, Healthcare, Management","Attention to Detail, Logical Thinking, Empathy, Leadership",2
A,A-,D-,A,B,E,D+,C-,A,C+,B,D-,C-,B,E,A,A-,C+,B-,B+,B-,C,B+,D-,D-,B,"Art, Communication, Music","Attention to Detail, Creativity, Manual Dexterity, Leadership, Empathy",2
C+,B-,C-,D+,C-,D-,B-,A,C-,E,B-,C-,B+,D-,D+,D+,D,C+,D+,B-,C,D,A-,D-,B-,B-,"Communication, Science, Debating, Building things","Communication, Logical Thinking, Empathy",2
D+,B-,D,C+,C+,D-,C-,B,A-,A,C,B-,D-,C-,B+,B-,D-,B+,E,E,D-,B-,B+,E,C+,B,"Healthcare, Communication, Music, Technology","Attention to Detail, Creativity, Problem Solving, Leadership, Communication",2
D,B,D-,A-,D-,B+,A-,A-,A-,B+,A-,A-,A-,B-,B-,D-,C+,C+,E,B+,D+,A-,D+,B-,B,A-,"Communication, Programming","Communication, Attention to Detail, Research, Problem Solving",2
B-,A,C+,C,C+,B-,C,C,A,B,A,C,E,A,B-,C,C,D+,C+,C+,D,D,A-,B,D-,D+,"Art, Communication","Research, Attention to Detail, Communication, Logical Thinking",2
C+,E,A-,E,B-,B+,B,B-,A-,D-,B+,B-,B,B+,A,B-,A,B-,D-,D,C+,D,A-,A-,D,C-,"Empathy, Science, Management","Attention to Detail, Logical Thinking, Empathy, Problem Solving",2
D+,A-,D-,E,B-,B,B+,D-,B-,C-,D,A-,C,C-,D+,A,B,D-,B+,C+,D-,A-,C-,B-,A,D,"Music, Empathy, Technology","Communication, Attention to Detail, Logical Thinking, Creativity",2
C-,D+,D+,B-,D,D+,B,B+,A-,B,C-,C,C+,D,B+,B-,B,C+,A-,B,C-,D,D,E,D-,B-,"Communication, Music, Science, Debating","Communication, Attention to Detail, Empathy",2
C+,C+,C,C-,E,B+,B-,D+,A,B-,C+,E,D+,A,C-,D,D-,C+,E,D-,D-,D-,C+,B-,B-,E,"Communication, Debating","Communication, Attention to Detail, Empathy",2
A,B+,C,A-,A-,D-,B+,B+,A,A-,B+,D+,D,C,C-,B-,A,B+,C+,C+,D,A,D,B,E,D+,"Attention to Detail, Healthcare, Sports","Attention to Detail, Empathy, Leadership",2
A,C+,D+,E,C+,A-,A,A-,A-,D,E,B-,A-,B+,B-,C+,D+,B-,A-,B,D,C-,D+,B,D+,D+,"Empathy, Building things","Attention to Detail, Empathy, Leadership",2
C+,D+,B-,B,D-,B-,B,C,A-,B,D,D-,B,D+,E,C+,A-,B,A,C,B,C,A,B-,E,B-,"Attention to Detail, Music, Debating, Building things","Attention to Detail, Creativity, Problem Solving, Leadership, Empathy",2
A,B+,B-,B,A-,B-,B+,C+,A-,C+,D-,C+,D-,C-,B,B-,D+,B+,C,D,D-,B+,D,C-,C,D-,"Communication, Programming, Management","Communication, Empathy, Problem Solving, Analytical Skills",2
B+,D,B+,B,D+,D+,A-,A,A,D,A-,D-,D,E,B,D-,C-,B,E,B-,A,C-,B-,A-,B,B,"Communication, Debating, Sports","Communication, Attention to Detail, Research, Analytical Skills",2
B,B,B,A,A-,B,A-,A-,A-,A-,B+,C+,A-,B,C,B+,B+,D+,A,C,D,C-,D-,B-,D-,C-,"Art, Communication, Debating","Communication, Attention to Detail, Empathy",2
D-,D-,E,C,C-,C,A,C,A-,A-,C+,C,B+,C+,C-,D,E,D+,B-,A-,C-,B+,B,C+,D+,C-,"Healthcare, Attention to Detail, Technology, Management","Communication, Attention to Detail, Manual Dexterity, Leadership",2
C+,B-,D,B,D+,A-,A-,C+,D+,A-,A,A-,B,C,D,D,A,D-,A-,C,B-,D,C,B,D+,B+,"Communication, Programming, Healthcare, Building things","Communication, Attention to Detail, Analytical Skills",2
D-,C+,B-,A,B-,E,A-,C-,B-,B-,C-,B+,A,D,C-,B,E,B-,E,E,B,B,D+,B+,A-,A,"Communication, Science","Attention to Detail, Manual Dexterity, Empathy, Analytical Skills",2
B-,C-,C-,C+,D+,E,A-,C,B,A,B,A-,D-,A,A,B-,A-,D+,C-,D,A,D-,B,D,C,B+,"Art, Empathy, Sports","Logical Thinking, Attention to Detail, Analytical Skills, Communication, Empathy",2
E,D+,A-,C,E,C+,B,A,B,A,C+,A,D+,B+,D,D+,E,A-,C-,D+,B,D-,B-,C,C+,D,"Attention to Detail, Building things","Attention to Detail, Logical Thinking, Empathy, Problem Solving",2
E,B,D+,B-,B+,D-,D+,D-,B+,A,D-,C,B+,C-,B-,D+,A,D+,A,B-,A-,C-,C+,B-,A-,E,"Attention to Detail, Technology, Management","Teamwork, Attention to Detail, Problem Solving, Manual Dexterity, Empathy",2
A,C-,C+,C+,C,E,B+,B,A,B,D+,E,C,B,A,C,A-,D,B,A-,D-,A,C+,D+,B-,D-,"Attention to Detail, Technology","Attention to Detail, Problem Solving, Leadership, Communication, Empathy",2
C-,A,A-,C-,D,C,B-,B-,B,D-,D,B+,C+,A,D,D+,A,C,E,A-,C+,B+,C-,B,E,C,"Attention to Detail, Programming","Teamwork, Attention to Detail, Problem Solving, Analytical Skills, Empathy",2
D,A,D-,A,C,B,A-,B-,C+,C-,A,D,A-,B-,B-,E,B-,D-,D,C,A,B,A,D+,C,D+,"Attention to Detail, Science","Communication, Attention to Detail, Problem Solving, Analytical Skills",2
C,C,A-,C-,D-,C-,A-,B-,A-,D-,E,A-,B-,B+,D-,D,D,C+,B,A-,B,B+,C-,A-,C-,C,"Communication, Music, Debating, Building things","Teamwork, Problem Solving, Analytical Skills, Communication, Empathy",2
D-,B,E,A-,D+,A,A-,A-,A-,E,E,C-,D-,D-,D+,B-,B+,B-,C+,C,C-,A-,A-,D+,D-,B-,"Communication, Music, Science, Programming","Teamwork, Attention to Detail, Leadership, Analytical Skills, Communication, Empathy",2
B,C-,C-,E,D-,A-,D+,C-,A,B-,A-,B,A-,D,D,B-,D-,A,A-,A-,D,D+,B,E,A-,B,"Attention to Detail, Science, Programming","Logical Thinking, Research, Attention to Detail, Manual Dexterity, Communication, Empathy",2
C,D+,E,E,D,A,B+,A-,C+,C,E,D,D-,C+,E,D-,A-,B-,B-,C-,D-,C-,D+,C,D,C+,"Communication, Debating","Logical Thinking, Attention to Detail, Manual Dexterity, Leadership, Analytical Skills, Empathy",2
A-,A,C,A-,D,D-,C,A,C-,B-,D-,A,C+,B+,A,D,E,B-,B,D-,B+,C+,C-,B+,A,C+,"Communication, Management, Technology, Building things","Research, Attention to Detail, Creativity, Manual Dexterity, Communication, Empathy",2
B+,D-,C,B,C-,D,C+,B+,A-,C-,E,B,D,D+,C+,C,E,C,C-,B-,C+,C-,C-,D-,C-,B-,"Communication, Programming, Debating, Technology","Teamwork, Research, Attention to Detail, Problem Solving, Communication",2
B+,B,C,C,A-,C,C-,D-,B+,B,B-,D-,D-,B-,A-,D+,B-,C+,B,C-,B-,A-,D-,D,C,C-,"Empathy, Technology","Communication, Empathy, Problem Solving",2
B,C+,A-,D+,B+,B,B+,E,A-,D+,B,D+,C,B-,D,C-,E,B+,D+,C-,B,A-,D,B+,D-,D-,"Communication, Music, Debating","Communication, Attention to Detail, Logical Thinking, Empathy",2
C,D,B+,C,E,C-,A,D,C-,B,D+,D-,C-,C+,A,C-,A-,B,D+,C-,B+,E,B,D-,C+,E,"Attention to Detail, Building things","Logical Thinking, Teamwork, Analytical Skills, Communication, Empathy",2
B+,B,D+,C,D-,D+,A,C+,C+,D,A-,B,A,D+,D+,D,A,D,D-,C+,B,C+,C+,D+,E,B,"Art, Communication, Science","Communication, Attention to Detail, Teamwork",2
B,E,D+,B+,C,B-,B+,B,C-,B-,E,D,D-,B,B,B,C,B,B-,D,B-,D,B+,C-,C-,B-,"Communication, Technology, Science, Sports","Communication, Attention to Detail, Empathy, Problem Solving",2
B-,C-,B+,C+,D+,D-,D+,C-,B,C+,C,C,D-,C+,E,D-,E,C,E,B-,C-,E,C+,D-,A,E,"Art, Communication, Music","Logical Thinking, Research, Attention to Detail, Problem Solving, Communication",2
A-,A,D,C,B-,D-,D+,A-,A-,D+,D+,C+,B,A,D-,B+,A-,D+,C+,C-,C,B,C,B-,D-,A-,"Healthcare, Empathy, Technology","Communication, Attention to Detail, Empathy, Leadership",2
D+,C,E,B,D+,A,A,C,A,D-,B+,C+,E,D-,B+,C+,D-,B,D-,C,A-,D-,B+,D+,D,C,"Music, Empathy, Programming","Attention to Detail, Logical Thinking, Empathy, Problem Solving",2
B-,D,E,C,D+,C,B,E,B+,D,B,D-,E,C+,E,A,E,C+,C+,C-,B-,E,B-,B,B-,C,"Communication, Healthcare, Building things, Management","Communication, Attention to Detail, Problem Solving, Analytical Skills",2
E,D-,B-,A,B,D+,A-,C,A,D+,E,A-,E,B+,B,A-,D,C-,D,E,A,C+,E,C-,E,D-,"Empathy, Science, Management","Research, Attention to Detail, Empathy, Teamwork",2
C,D,C+,C,C,D+,B+,A,B,B+,B+,D+,A,A-,B-,D-,A,A-,C-,B,B+,B+,D+,D+,B,B-,"Programming, Empathy, Debating","Logical Thinking, Research, Attention to Detail, Creativity, Communication, Empathy",2
C,D+,C,D,B+,C-,A,D-,B,B-,C,D-,C-,B-,B,D,B,C-,D,D-,B-,C+,B+,D+,B,B,"Attention to Detail, Music, Sports, Building things","Attention to Detail, Empathy, Teamwork",2
D+,A-,A-,B+,C-,C+,D,B+,A,D+,B+,A,C,A-,A-,A-,B+,D-,A,A-,B-,D+,D-,D+,D+,A,"Attention to Detail, Healthcare, Debating, Technology","Research, Communication, Attention to Detail",2
B+,B-,C-,B+,A,C+,C,C+,A-,C,C+,C+,D-,B+,B,C,D-,A,E,C,E,E,D+,E,B-,C,"Communication, Science, Healthcare","Communication, Attention to Detail, Teamwork",2
A-,C+,B-,C,B+,C,B,B-,A-,B,D+,B-,A,D-,C+,D+,D,A,A,B+,C,D-,B-,B+,C-,C+,"Communication, Science, Debating","Communication, Research, Empathy, Teamwork",2
C+,A-,B-,A,C-,A,D,D,D,C,B+,A-,B,D,E,D-,E,C-,D-,C-,C,C-,D-,B+,A-,C,"Communication, Programming","Teamwork, Attention to Detail, Leadership, Analytical Skills, Communication, Empathy",2
B,B,C,B+,D,D-,B,B,A-,A,B-,E,D,E,C+,C+,B+,A,B-,B-,C,A-,A-,B-,A,D-,"Music, Empathy, Programming","Attention to Detail, Empathy",2
C,C-,A,D,D+,E,A,C+,D+,B+,E,A,D,C,D+,B,D-,A,B+,A,D-,D+,C,D+,B+,D+,"Attention to Detail, Building things","Research, Communication, Empathy",2
A-,A,B,C-,B-,C,B-,D-,B,C,C-,E,A,B-,B,B,B-,B+,C+,A,E,B,E,C+,C+,D-,"Empathy, Debating, Building things, Management","Communication, Attention to Detail, Problem Solving",2
A,A-,A-,D,E,C-,B+,D-,A,C,E,A-,B+,B,A,B,C,C,C-,C+,B+,E,D,E,D+,D,"Communication, Building things","Logical Thinking, Teamwork, Attention to Detail, Communication, Empathy",2
A-,D-,C+,A,A-,D-,D+,B,C-,D,C,C+,D,E,B+,B-,A-,B-,D,D,A,A-,B+,C-,B,A,"Attention to Detail, Technology","Communication, Attention to Detail, Leadership",2
E,C,B+,A,A-,D,A,C-,A-,A,C,C+,D+,A-,B,D+,D-,B+,C-,B+,C,C+,C-,A,D,B+,"Attention to Detail, Technology","Attention to Detail, Logical Thinking, Empathy, Leadership",2
C+,B-,E,A-,B+,B,C,A-,A-,D-,D,D,B-,C,D,C,E,B+,D-,E,C+,D-,B+,B-,B+,A,"Attention to Detail, Management","Research, Communication, Attention to Detail, Empathy",2
A,A-,D+,C-,C,B-,D+,A,A,B-,C,D-,A,C+,D,D,C+,A-,C-,C-,C,D+,A,A-,C,D-,"Art, Attention to Detail, Debating","Communication, Research, Creativity, Empathy",2
D,C,D-,A,C-,B-,B-,A,B+,B-,C-,B-,C-,A-,C-,A-,C,A-,D-,A,D+,D-,D+,A,E,D,"Attention to Detail, Programming, Debating","Attention to Detail, Problem Solving, Leadership, Communication, Empathy",2
E,B,C,B+,D-,B,B+,D,D,A,B,D,C+,A,B+,D+,C+,D-,E,C,C+,E,D-,C-,A,A-,"Attention to Detail, Programming, Healthcare","Logical Thinking, Teamwork, Research, Creativity, Communication, Empathy",2
E,A,B,D,B,C,B,C+,B,B,A,E,E,C,D+,D,D,A,C,E,B-,B-,D+,A,C-,D+,"Communication, Science, Debating","Logical Thinking, Research, Manual Dexterity, Analytical Skills, Communication, Empathy",2
D-,D-,D+,D,C,A-,B-,C,A-,C,D,A,C+,D+,B-,A,C,D+,C-,C,C+,D,A-,C-,D-,D+,"Communication, Programming, Healthcare","Communication, Attention to Detail, Leadership",2
A-,A,D,D-,B,B,C-,C,A,A-,C-,A,E,B+,D-,B-,C+,D-,C,C,B+,C-,C,D,C+,B-,"Attention to Detail, Management, Building things","Research, Attention to Detail, Creativity, Analytical Skills, Communication, Empathy",2
D,B+,D,A,D,E,A,C-,D+,C-,C,B-,A,D+,B-,E,D,B-,D-,B+,D-,A,A-,C-,C,D+,"Programming, Empathy, Science, Sports","Communication, Attention to Detail, Empathy",2
D+,A-,A,C+,D+,E,D,D,A-,A-,C,A-,D-,B,B-,A,B+,A-,A,C+,D+,D+,C+,D,C,D-,"Healthcare, Attention to Detail, Programming","Research, Creativity, Problem Solving, Leadership, Communication, Empathy",2
B-,C-,C,A-,B-,A,B+,A-,B,D,B,A-,E,D-,B-,C-,D-,B-,C,D+,E,D+,B-,E,C-,E,"Communication, Science","Logical Thinking, Teamwork, Research, Communication, Empathy",2
D-,B-,A,C+,C,C-,A-,D-,A-,D+,A-,A,A,C+,D-,C,A,D-,D+,A-,A,B,D,B,C+,C+,"Communication, Sports, Building things","Teamwork, Attention to Detail, Creativity, Leadership, Communication",2
A-,D+,E,D-,D-,C-,B+,A-,A,D,C-,A,E,D+,D,B-,C,B,D,B+,D+,B+,D+,A-,D+,A-,"Communication, Programming, Technology, Sports","Creativity, Problem Solving, Leadership, Communication, Empathy",2
C+,C,A,A-,C+,D,A,A-,C,B,D+,D,B,C,D-,C+,B+,B-,C+,A-,B,C-,D+,D+,B+,C-,"Attention to Detail, Science","Communication, Attention to Detail, Creativity, Leadership",2
B+,D+,C,C-,C+,B+,A,C+,B,A-,C-,D+,D-,D,A-,B+,D+,A-,C,A-,C-,D-,C-,D-,C,D,"Empathy, Debating","Research, Creativity, Analytical Skills, Communication, Empathy",2
D+,B-,D,B,D,E,B-,A-,B-,C-,A,D-,C,B,B+,D-,C+,C-,B-,E,C+,D,C,B,B-,A-,"Art, Science, Empathy, Music","Communication, Manual Dexterity, Empathy",2
D,C,D,C,D-,B-,A,A-,D+,B-,C+,D-,B-,A,D-,B-,D-,B,C-,C,B,C,A-,C+,B,A-,"Empathy, Music, Management","Attention to Detail, Creativity, Empathy, Problem Solving",2
B-,C+,D,E,E,E,B+,B,B+,C-,A-,B-,A-,B-,C-,D+,C-,D+,E,B-,D-,D-,C+,C+,D,C-,"Empathy, Programming","Teamwork, Attention to Detail, Creativity, Leadership, Communication, Empathy",2
C-,B,B+,C+,D,C,A-,E,C-,E,B-,B,E,D,E,C,C+,B+,C+,A-,B-,A,B+,C,B-,B-,"Art, Empathy","Communication, Attention to Detail, Manual Dexterity",2
A-,B+,D+,B-,C-,C+,A-,E,A-,A,A-,D,C-,A,D,B-,B+,E,B-,C-,B-,E,A,A-,D+,C,"Communication, Music, Programming, Healthcare","Logical Thinking, Attention to Detail, Manual Dexterity, Leadership, Empathy",2
